ra,dec,h_m,prox
148.753195,41.641853,12.006,97.5
25.027386,-40.870686,12.006,80.1
224.419234,16.535021,12.006,80.6
176.221343,32.582314,12.006,102.0
127.213726,34.569462,12.006,91.7
54.584210,10.375918,12.006,82.2
43.332525,-57.536327,12.006,86.3
33.924717,-29.070444,12.006,76.8
337.618307,-7.424818,12.006,79.7
228.416417,65.057266,12.006,101.4
152.615081,25.096262,12.006,110.9
18.906816,-8.361399,12.006,100.4
0.452286,-5.557617,12.006,115.7
130.933168,45.465191,12.006,90.6
39.725329,-25.895830,12.006,103.0
154.451129,47.290066,12.006,118.2
15.649818,-36.739174,12.006,92.3
345.431173,-8.501052,12.006,88.0
140.753713,28.079739,12.006,94.1
5.731453,-15.575760,12.006,82.3
20.450595,-18.194387,12.006,82.6
61.864290,10.527067,12.006,81.4
6.394153,-11.957653,12.006,84.9
49.983633,-9.825400,12.006,82.9
37.689688,-18.885002,12.006,159.5
34.767530,-17.246893,12.006,90.9
167.607933,38.509357,12.006,108.9
191.264177,29.124331,12.006,92.3
36.775033,18.839403,12.006,107.9
147.389919,-0.340262,12.006,75.2
163.103131,43.805023,12.006,91.3
39.344151,2.958579,12.006,77.6
196.561745,26.601854,12.006,104.9
240.749734,59.166428,12.006,94.1
320.049393,-13.694763,12.006,80.5
217.871123,36.415932,12.006,89.0
201.374223,-20.679451,12.006,77.5
244.793500,0.708070,12.006,93.7
220.382130,-9.534357,12.006,83.1
224.319711,-5.498500,12.006,86.1
202.317939,39.416039,12.006,83.2
238.680727,17.945753,12.006,79.2
187.764710,-7.381321,12.006,97.5
52.720357,1.748459,12.006,106.4
58.529641,-5.113463,12.006,90.0
233.966429,60.818527,12.006,92.3
44.827811,-11.403223,12.006,87.5
18.704089,10.551693,12.006,77.7
42.460953,-24.316086,12.006,96.0
206.611348,-10.842085,12.006,76.2
201.229283,8.567797,12.006,80.0
168.619939,62.491173,12.006,78.3
168.255697,60.904022,12.006,101.9
190.503344,22.139227,12.006,86.7
356.619037,-50.508888,12.006,78.2
359.153775,-8.700249,12.006,100.0
200.746002,36.935444,12.006,97.3
158.829959,10.685018,12.006,120.0
172.250613,38.071175,12.006,94.9
198.890550,34.007839,12.006,95.9
36.909186,-2.445070,12.006,90.2
207.658679,33.964245,12.006,146.4
162.404804,62.042290,12.006,127.5
178.639725,22.622881,12.006,105.4
205.256179,-14.351282,12.006,85.1
53.178779,-20.243422,12.006,108.1
215.995815,50.945461,12.006,132.7
346.432231,-64.526726,12.006,82.7
335.309339,17.596094,12.006,92.6
333.925879,5.373103,12.006,124.1
356.252617,4.415948,12.006,76.5
221.691466,31.576324,12.006,84.0
176.278671,39.550713,12.006,99.5
189.812813,7.043657,12.006,106.4
356.610184,26.045420,12.006,76.7
211.263225,-12.773464,12.006,82.2
11.123985,-39.081196,12.006,80.1
10.814457,4.392852,12.006,111.1
349.012438,-0.940723,12.006,82.5
216.718187,2.884598,12.006,108.0
220.754468,8.385479,12.006,77.4
253.687244,22.511068,12.006,76.8
8.006284,-20.756157,12.006,87.1
6.974069,-18.279182,12.006,86.2
212.606511,26.539902,12.006,98.4
209.867583,25.952856,12.006,79.1
39.464433,-35.727474,12.006,78.1
138.505627,37.680687,12.006,92.2
205.615126,70.782852,12.006,99.6
16.994182,-61.828465,12.006,97.9
227.737819,51.358822,12.006,80.8
11.105762,-2.634772,12.006,110.8
6.824063,22.950891,12.006,75.8
134.812286,68.520515,12.006,80.5
179.856715,25.700714,12.006,86.2
135.975754,27.334208,12.006,79.9
132.790200,52.978790,12.006,84.8
31.225445,-47.707157,12.006,90.5
175.686314,23.117638,12.006,93.5
181.727766,45.132374,12.006,88.4
195.191227,56.996479,12.006,85.0
210.383060,63.834949,12.006,86.7
56.624448,-38.354332,12.006,90.5
244.767902,39.202995,12.006,79.4
62.158703,5.480559,12.006,82.9
359.519886,-16.235847,12.006,103.8
147.180383,53.226585,12.006,126.5
223.752665,26.958136,12.006,101.3
163.278366,65.561943,12.006,79.1
84.688931,-41.825592,12.006,75.9
141.132835,51.940872,12.006,92.3
11.753875,-47.497063,12.006,130.7
230.710625,24.739759,12.006,76.5
13.446009,27.811512,12.006,110.0
18.671338,26.206350,12.006,83.0
147.514439,41.823673,12.006,104.2
245.651428,64.511429,12.006,94.5
12.820967,-15.356444,12.006,75.5
66.691502,-32.511372,12.006,137.7
172.546369,7.273064,12.006,108.2
35.565613,9.805394,12.006,77.9
62.243400,-34.642979,12.006,106.0
80.555565,-27.509684,12.006,78.5
213.769946,75.896690,12.006,102.6
194.885735,13.100572,12.006,102.4
14.115142,-18.825830,12.006,85.3
136.281108,62.785873,12.006,81.5
4.480809,3.280155,12.006,103.0
90.321350,73.652740,12.006,79.9
215.531572,27.977579,12.006,113.0
353.152964,5.487247,12.007,83.7
213.416359,9.571984,12.007,82.8
207.251784,6.526466,12.007,77.9
23.717889,-72.964355,12.007,75.1
30.090516,-19.475061,12.007,79.5
218.404006,3.790411,12.007,128.6
174.662464,13.358731,12.007,79.4
179.648396,28.670404,12.007,96.8
178.690009,4.900046,12.007,103.4
215.204319,-14.995109,12.007,99.6
155.687883,63.266827,12.007,79.1
175.698181,30.024157,12.007,111.3
24.140424,-59.691742,12.007,97.4
160.422896,45.567852,12.007,90.3
128.641771,39.127022,12.007,76.3
25.815802,-28.429836,12.007,86.7
134.403086,31.264004,12.007,75.1
21.879021,-16.495575,12.007,78.5
186.581353,15.967658,12.007,112.2
137.112043,61.672558,12.007,82.8
173.000669,39.561382,12.007,81.8
