ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,gal_contam,mp_flg,j_h,h_k,j_k
225.575054,45.977615,0.10,0.06,0,15021801+4558394,5.882,0.009,0.019,171644.5,5.014,0.049,0.051,169164.8,4.642,0.001,0.015,149492.7,AAA,111,111,000,665636,37.9,0,0,0.8680,0.3720,1.2400
267.449955,-76.202003,0.07,0.06,0,17494798-7612072,5.617,0.039,0.043,178086.1,5.014,0.015,0.021,119759.5,4.871,0.017,0.023,91837.5,AAA,111,111,000,665656,23.0,0,0,0.6030,0.1430,0.7460
118.880968,8.862783,0.08,0.07,90,07553143+0851460,5.123,0.029,0.034,345326.6,5.014,0.017,0.023,175109.6,4.956,0.015,0.021,119955.4,EAA,111,111,000,275777,21.5,0,0,0.1090,0.0580,0.1670
106.742096,13.207171,0.07,0.07,0,07065810+1312258,5.790,0.017,0.024,168434.1,5.014,0.013,0.020,137502.3,4.741,0.007,0.016,114820.7,AAA,111,111,000,573656,20.4,0,0,0.7760,0.2730,1.0490
281.147318,64.810066,0.07,0.06,0,18443535+6448362,5.497,0.013,0.021,220612.4,5.014,0.011,0.018,157873.8,4.872,0.011,0.018,82721.8,AAA,111,111,000,564666,25.3,0,0,0.4830,0.1420,0.6250
6.809361,30.896778,0.07,0.07,0,00271424+3053484,5.770,0.011,0.020,183835.8,5.014,0.033,0.036,163421.8,4.573,0.015,0.021,164899.8,AEA,111,111,000,661535,29.5,0,0,0.7560,0.4410,1.1970
82.893397,37.886581,0.06,0.06,0,05313441+3753116,6.180,0.013,0.021,95593.9,5.014,0.013,0.020,132834.2,4.552,0.005,0.016,107305.0,AAA,111,111,000,664666,26.3,0,0,1.1660,0.4620,1.6280
277.783757,-52.753906,0.08,0.07,0,18310810-5245140,5.798,0.019,0.026,131289.5,5.014,0.049,0.051,123968.1,4.581,0.009,0.017,104476.8,AEA,111,111,000,662645,23.6,0,0,0.7840,0.4330,1.2170
275.095268,17.024839,0.07,0.07,0,18202286+1701294,5.815,0.013,0.021,170384.5,5.014,0.045,0.047,181263.4,4.794,0.011,0.018,113193.1,AEA,111,111,000,662666,26.1,0,0,0.8010,0.2200,1.0210
32.387574,22.009674,0.09,0.09,90,02093301+2200348,5.813,0.009,0.019,195988.2,5.014,0.005,0.016,201052.7,4.797,0.009,0.017,112880.8,AEA,111,111,000,662666,54.2,0,0,0.7990,0.2170,1.0160
31.733194,26.323423,0.08,0.07,0,02065596+2619243,5.495,0.021,0.027,245148.9,5.014,0.033,0.036,181263.4,4.846,0.005,0.016,115616.6,AAA,111,111,000,463645,57.5,0,0,0.4810,0.1680,0.6490
307.007895,-80.447739,0.06,0.06,90,20280189-8026518,5.860,0.009,0.019,142373.8,5.015,0.019,0.024,123854.0,4.723,0.011,0.018,105249.5,AAA,111,111,00d,664655,49.8,0,0,0.8450,0.2920,1.1370
44.349047,-23.862143,0.08,0.07,90,02572377-2351437,5.062,0.033,0.037,329329.0,5.015,0.023,0.027,142203.4,4.915,0.013,0.020,94497.4,EAA,111,111,000,164666,25.0,0,0,0.0470,0.1000,0.1470
299.542970,6.653646,0.06,0.06,0,19581031+0639131,5.943,0.055,0.058,123092.1,5.015,0.031,0.034,137375.7,4.719,0.015,0.021,117171.0,AAA,111,111,000,664546,21.4,0,0,0.9280,0.2960,1.2240
147.272799,18.057831,0.09,0.08,90,09490547+1803281,5.632,0.005,0.018,275188.3,5.015,0.005,0.016,194048.4,4.859,0.017,0.023,131165.6,AAA,111,111,000,563566,26.8,0,0,0.6170,0.1560,0.7730
288.939966,28.993534,0.06,0.06,90,19154559+2859367,5.775,0.011,0.020,148740.8,5.015,0.013,0.020,147200.7,4.722,0.009,0.017,82721.8,AAA,111,111,00d,664655,21.4,0,0,0.7600,0.2930,1.0530
2.385959,50.488068,0.07,0.07,90,00093263+5029170,5.970,0.015,0.023,142702.0,5.015,0.033,0.036,142203.4,4.631,0.013,0.020,131528.5,AEA,111,111,000,661646,21.6,0,0,0.9550,0.3840,1.3390
271.296478,-44.473167,0.06,0.06,0,18051115-4428234,5.937,0.013,0.021,142111.8,5.015,0.025,0.029,152373.7,4.642,0.011,0.018,105832.7,AAA,111,111,000,664666,20.5,0,0,0.9220,0.3730,1.2950
340.887947,-10.572968,0.07,0.06,0,22433310-1034226,5.916,0.017,0.024,178250.2,5.015,0.031,0.034,194048.4,4.737,0.017,0.023,111332.0,AAA,111,111,0d0,663666,58.5,0,0,0.9010,0.2780,1.1790
197.442689,-7.655422,0.07,0.07,90,13094624-0739195,5.525,0.029,0.034,222551.2,5.015,0.011,0.018,174948.4,4.837,0.011,0.018,88434.2,AAA,111,111,00d,664655,74.6,0,0,0.5100,0.1780,0.6880
236.544310,0.671714,0.07,0.06,90,15461063+0040181,5.801,0.011,0.020,178661.1,5.015,0.015,0.021,163271.4,4.767,0.011,0.018,101069.5,AAA,111,111,000,665655,35.2,0,0,0.7860,0.2480,1.0340
120.082575,-65.297073,0.07,0.06,0,08001981-6517494,5.783,0.011,0.020,147648.8,5.015,0.017,0.023,123854.0,4.697,0.021,0.026,93890.1,AAA,111,111,000,674656,31.5,0,0,0.7680,0.3180,1.0860
155.110148,11.352799,0.11,0.10,0,10202643+1121100,5.645,0.015,0.023,151157.6,5.015,0.009,0.017,137375.7,4.858,0.013,0.020,83795.4,AEA,111,111,000,662666,37.4,0,0,0.6300,0.1570,0.7870
346.824610,-34.865627,0.07,0.07,90,23071790-3451562,5.625,0.005,0.018,210101.9,5.015,0.043,0.045,142203.4,4.736,0.011,0.018,123600.4,AEA,111,111,0d0,662656,34.9,0,0,0.6100,0.2790,0.8890
273.402908,9.773433,0.08,0.07,90,18133669+0946243,5.572,0.017,0.024,167351.6,5.015,0.009,0.017,137375.7,4.744,0.035,0.038,93072.2,AAA,111,111,000,675777,24.9,0,0,0.5570,0.2710,0.8280
303.427754,-52.226582,0.06,0.06,90,20134266-5213356,5.727,0.015,0.023,184769.4,5.015,0.035,0.038,169009.1,4.774,0.013,0.020,107601.9,AAA,111,111,00d,664656,20.4,0,0,0.7120,0.2410,0.9530
